time	V(vin)-V(vout)	V(vout)
8.236175230804935e-002	-6.521598e+000	2.940175e+000
8.256175230804932e-002	-5.104860e+000	2.236914e+000
8.266175230804931e-002	-4.385117e+000	1.880278e+000
8.276175230804930e-002	-3.659675e+000	1.521502e+000
8.286175230804929e-002	-2.930400e+000	1.161932e+000
8.296175230804928e-002	-2.200265e+000	8.040140e-001
8.306175230804927e-002	-1.477287e+000	4.552388e-001
8.316175230804926e-002	-7.760982e-001	1.297040e-001
8.319454970771589e-002	-5.693438e-001	4.638055e-002
8.321893136690239e-002	-4.440489e-001	1.289734e-002
8.324311523821013e-002	-3.414063e-001	1.357653e-003
8.325310906624350e-002	-3.026867e-001	2.944685e-004
8.326893221365866e-002	-2.428359e-001	7.322150e-005
8.328712366628946e-002	-1.742098e-001	1.227606e-005
8.331968590721006e-002	-5.145124e-002	1.882078e-006
